File,Wavelength,Date,Repeat_no,pH,Absorbance,absorbance_adj,PO4mgL,PO4removed,PO4removed_p
030925-ph3-1.txt,880,030925,1,3,0.141700826,2.834016513,4.292199513,15.70780049,78.53900243
030925-ph3-2.txt,880,030925,2,3,0.121982535,2.439650693,3.705520222,16.29447978,81.47239889
030925-ph3-3.txt,880,030925,3,3,0.137079718,2.741594352,4.154707456,15.84529254,79.22646272
030925-ph4-1.txt,880,030925,1,4,0.211517018,4.230340368,6.369444165,13.63055584,68.15277918
030925-ph4-2.txt,880,030925,2,4,0.159432688,3.18865377,4.81977651,15.18022349,75.90111745
030925-ph4-3.txt,880,030925,3,4,0.211879985,4.237599706,6.380243537,13.61975646,68.09878231
030925-ph5-1.txt,880,030925,1,5,0.191513352,3.830267037,5.774274081,14.22572592,71.12862959
030925-ph5-2.txt,880,030925,2,5,0.189295394,3.785907877,5.708283066,14.29171693,71.45858467
030925-ph5-3.txt,880,030925,3,5,0.181374108,3.62748217,5.472600669,14.52739933,72.63699665
030925-ph6-1.txt,880,030925,1,6,0.262470096,5.249401913,7.885453604,12.1145464,60.57273198
030925-ph6-2.txt,880,030925,2,6,0.23167295,4.633459004,6.969144606,13.03085539,65.15427697
030925-ph6-3.txt,880,030925,3,6,0.197939901,3.958798025,5.965483524,14.03451648,70.17258238
030925-ph7-1.txt,880,030925,1,7,0.172854639,3.45709277,5.219120456,14.78087954,73.90439772
030925-ph7-2.txt,880,030925,2,7,0.271505423,5.430108455,8.154282141,11.84571786,59.22858929
030925-ph7-3.txt,880,030925,3,7,0.28261385,5.652277009,8.484791742,11.51520826,57.57604129
